chatId,text,isUser,nextChat,nextScenario
1,Start,0,,1
2,Hey :) How's your day shining?,0,3,
3,:),0,,2
4,"I'm good, listening to some music, what's tunes are you listening to today?",0,,3
5,Nice choice! Any favorite artists?,0,,4
6,Solid picks! Jorja Smith’s voice is something else. Heard her latest track?,0,,5
7,"Absolutely, 'Backwards' hits deep. Music has this way of reaching right into your soul. Speaking of feelings, ever had art that just pulls you in like that?",0,,114
101,,0,,
102,"nice, what tunes are you vibing with today?",0,,3
103,,0,,
104,,0,,
105,,0,,
106,"No judgment here! Nicki’s got bars, and Katy Perry’s tunes are catchy. Any favorite tracks from them?",0,,6
107,"You should! this This album hits deep. Music has this way of reaching right into your soul. Speaking of feelings, ever had art that just pulls you in like that?""",0,,
108,"Ah, 'SUPER FREAKY GIRL,' huh? That song's got those catchy vibes! Can’t help but groove to it. So, speaking of funky tunes, ever seen art that made you wanna dance",0,,8
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,end,,,
201,,0,,
202,,0,,
203,,0,,
204,,0,,
205,,0,,
206,"No, I have heard of them, but never listened to any of their songs. ",0,207,
207,Any Recommendations?,1,,7
208,,,,
209,,,,
210,,,,
211,,,,
212,,,,
213,,,,
